tempat;alamat;kategori;rating;harga;desk
Iga Bajog;Jalan Panjaitan 84, Semarang Tengah, Semarang;BBQ;4.5;25.000-100.000;Tempat makan iga yang terkenal di Semarang.
Warung Sate Pak Kumis;Jl. Pemuda No. 10, Semarang;Sate;4.2;65.000-85.000;Warung sate dengan bumbu kacang lezat.
Sushi Tei;Jl. Ahmad Yani No. 56, Semarang;Sushi;4.8;35.000-200.000;Restoran sushi premium di pusat kota.
Bakso Mantep;Jl. Gajahmada No. 22, Semarang;Bakso;4.3;25.000-100.000;Bakso dengan kuah kaldu istimewa di semarang.
Roti Bakar Srikandi;Jalan Diponegoro No. 78, Semarang;Roti Bakar;4.4;65.000-85.000;Roti bakar dengan aneka topping menarik di semarang.
Ayam Geprek Sambal Gledek;Jl. Tlogosari Raya No. 45, Semarang;Ayam Geprek Sambal;4.6;35.000-80.000;Ayam geprek dengan sambal ekstra pedas di semarang.
Es Teler Duren Joss;Jl. Kaligawe No. 13, Semarang;Minuma;4.7;25.000-100.000;Es teler khas semarang dengan durian segar dan topping spesial.
Kopi Nusantara;Jl. Imam Bonjol No. 19, Semarang;Kopi;4.5;65.000-85.000;Kedai kopi dengan biji kopi pilihan dari nusantara terletak di kota semarang.
Mie Ayam Mas Ghofur;Jalan Simpang Lima No. 2, Semarang;Mie Ayam;4.4;35.000-100.000;Mie ayam di semarang dengan topping ayam kecap spesial.
Steak Resto Urban;Jalan Pandanaran No. 30, Semarang;Steak;4.6;250.000-500.000;Restoran steak semarang dengan suasana modern dan menu premium.
Gudeg Yu Djum;Jl. Wijilan No. 167, Yogyakarta;Gudeg;4.7;65.000-85.000;Tempat legendaris untuk menikmati gudeg khas Yogyakarta
Angkringan Lik Man;Jl. Wongsodirjan No. 13, Yogyakarta;Angkringan;4.5;15.000-50.000;Angkringan viral Yogyakarta dengan kopi jos khas.
Soto Kadipiro;Jl. Wates No. 33, Yogyakarta;Soto;4.6;25.000-100.000;Warung soto Yogyakarta dengan rasa autentik sejak 1921.
Bakmi Mbah Mo;Jl. Parangtritis Km. 11, Bantul, Yogyakarta;Bakmi Jawa;4.8;65.000-85.000;Bakmi godog legendaris Yogyakarta yang dimasak menggunakan anglo.
Mangut Lele Mbah Marto;Dusun Nggeneng, Sewon, Bantul, Yogyakarta;Mangut;4.5;35.000-200.000;Mangut lele Yogyakarta dengan rasa pedas dan gurih khas.
Jejamuran;"	Jl. Pramuka No. 53, Sleman, Yogyakarta";Tradisional;"	4.4";25.000-100.000;Restoran spesialis olahan jamur dengan banyak variasi di Yogyakarta.
Sate Klathak Pak Pong;Jl. Imogiri Timur Km. 10, Bantul, Yogyakarta;Sate;4.7;65.000-85.000;Sate kambing yang dimasak dengan jeruji sepeda khas Yogyakarta.
Resto Bale Raos;Komplek Keraton Yogyakarta, Yogyakarta;Tradisional;4.5;35.000-200.000;Restoran dengan menu favorit raja Keraton Yogyakarta.
Tempo del Gelato;Jl. Prawirotaman No. 43, Yogyakarta;Gelato;4.6;25.000-100.000;Gelato dengan berbagai rasa yang segar dan nikmat yang viral di Yogyakarta.
Batagor Kingsley;Jl. Veteran No. 25, Bandung;Batagor;4.7;15.000-30.000;Tempat terkenal untuk menikmati batagor khas Bandung.
Sate Maulana Yusuf;Jl. Maulana Yusuf No. 21, Bandung;Sate;4.6;65.000-85.000;Sate legendaris bandung dengan daging empuk dan bumbu kacang lezat.
Warung Bu Eha;Jl. Cihapit No. 47, Bandung;Masakan Sunda;4.5;15.000-50.000;Warung makan tradisional dengan menu khas Sunda di bandung.
Mie Naripan;Jl. Naripan No. 108, Bandung;Mie;4.7;25.000-50.000;Tempat populer untuk menikmati mie khas Bandung.
Braga Permai;Jl. Braga No. 58, Bandung;Kafe;"	4.4";65.000-85.000;Restoran klasik dengan suasana vintage dan menu beragam di kota bandung.
Warung Misbar;Jl. R.E. Martadinata No. 28A, Bandung;Warung Modern;4.6;35.000-200.000;Tempat makan di kota bandung dengan konsep nostalgia bioskop tempo dulu.
Kampung Daun;Jl. Sersan Bajuri Km. 4,7, Bandung;Restoran Alam;4.8;25.000-100.000;Restoran di bandung dengan suasana alami dan menu tradisional.
Rumah Makan Ampera;Jl. Soekarno Hatta No. 394, Bandung;Masakan Sunda;"	4.4";65.000-85.000;Restoran Sunda dengan pilihan menu lengkap dan harga terjangkau di bandung.
The Valley Bistro Café;Jl. Lembah Pakar Timur No. 28, Bandung;Internasional;4.7;35.000-200.000;Restoran dengan menu internasional dan pemandangan kota Bandung.
Dapur Dahapati;Jl. Cipaganti No. 146, Bandung;Sop Buntut;4.5;25.000-100.000;Tempat makan terkenal di bandung dengan sop buntut yang kaya rasa.
Warung Soto Betawi Haji Husein;Jl. Cikini Raya No. 123,Jakarta Pusat;Soto;4.8;25.000-80.000;Tempat legendaris dengan cita rasa soto Betawi otentik.
Bakmi Gang Kelinci;Jl. Kelinci Raya No. 45, Jakarta Barat;Bakmi;4.8;65.000-85.000;Restoran terkenal dengan bakmi ayam lezat dan porsi melimpah di jakarta barat.
Nasi Uduk Kebon Kacang;Jl. Kebon Kacang IV No. 15, Jakarta Pusat;Nasi Uduk;4.6;15.000-50.000;Warung populer di jakarta pusat dengan nasi uduk khas dan lauk yang bervariasi.
Gado-Gado Bonbin;Jl. Cikini IV No. 5, Jakarta Pusat;Gado-Gado;4.5;25.000-50.000;Restoran ikonik dengan gado-gado khas Jakarta yang legendaris.
Sate Khas Senayan;Jl. Senayan No. 7, Jakarta Selatan;Sate;4.7;65.000-85.000;Restoran terkenal dengan sate ayam dan kambing yang lezat di jakarta selatan.
Ragusa Es Italia;Jl. Veteran I No. 10, Jakarta Pusat;Es Krim;4.6;35.000-200.000;Restoran vintage yang menyajikan es krim Italia tradisional di jakarta pusat.
Bunga Rampai;Jl. Teuku Cik Ditiro No. 35, Jakarta Pusat;Tradisional;4.4;35.000-200.000;Restoran elegan dengan menu khas Indonesia di jakarta pusat.
Abuba Steak;Jl. Cipete Raya No. 17, Jakarta Selatan;Steak;4.8;65.000-250.000;Tempat steak favorit dengan suasana kasual di jakarta selatan.
Taman Santap Rumah Kayu;Jl. Lingkar Luar Barat No. 3, Jakarta Barat;Tradisional;4.5;35.000-200.000;Restoran keluarga dengan suasana alam yang nyaman di jakarta barat.
Dapur Solo;Jl. Bendungan Hilir No. 27, Jakarta Pusat;Masakan Jawa;4.7;25.000-100.000;Restoran dengan pilihan menu masakan Jawa yang autentik di jakarta pusat.
Rawon Setan;Jl. Embong Malang No. 78/I, Surabaya;Rawon;4.8;25.000-80.000;Warung legendaris surabay dengan rawon yang kaya rempah dan daging empuk.
Depot Bu Rudy;Jl. Dharmahusada No. 140, Surabaya;Masakan Jawa;4.6;65.000-85.000;Restoran di surabaya yang terkenal dengan sambal bawang pedas dan menu khas Jawa.
Sate Klopo Ondomohen;Jl. Walikota Mustajab No. 36, Surabaya;Sate;4.7;15.000-50.000;Sate legendaris surabaya dengan taburan kelapa yang gurih dan daging empuk.
Lontong Balap Pak Gendut;Jl. Kranggan No. 60, Surabaya;Lontong Balap;4.5;25.000-50.000;Hidangan khas Surabaya dengan tahu, tauge, dan lentho yang lezat.
Toko Oen;Jl. Pemuda No. 52, Surabaya;Kafe;4.4;65.000-85.000;Restoran vintage yang menyajikan es krim dan makanan ala Eropa di kota surabaya.
Bebek Sinjay;Jl. Dharmahusada Indah Timur, Surabaya;Bebek;4.8;35.000-200.000;Tempat viral di surabaya untuk menikmati bebek goreng dengan sambal pencit.
Rujak Cingur Ahmad Jais;Jl. Ahmad Jais No. 40, Surabaya;Rujak Cingur;4.6;35.000-200.000;Rujak cingur khas surabaya dengan bumbu petis yang otentik dan segar.
Warung Bu Kris;Jl. Tenggilis Utara No. 1, Surabaya;Masakan Sunda;4.7;65.000-250.000;Warung makan di surabaya dengan berbagai menu penyetan khas.
Zangrandi Ice Cream;Jl. Yos Sudarso No. 15, Surabaya;Es Krim;4.5;35.000-200.000;Restoran viral di surabaya dengan es krim khas Surabaya sejak zaman kolonial.
Boncafé;Jl. Manyar Kertoarjo No. 41, Surabaya;Steak;4.6;25.000-100.000;Restoran steak di surabaya dengan suasana modern dan rasa yang lezat.
